Name,Buy,Gender,Age,Prefecture,City,Rank
廣川 さゆり,2086,男,30,北海道,安房郡鋸南町,C
高橋 太郎,2732,女,30,沖縄県,鎌ケ谷市,B
近藤 結衣,977,男,30,大阪府,日野市,A
田中 桃子,1375,女,20,富山県,町田市,A
木村 翼,4245,男,40,福岡県,大網白里市,B
渡辺 稔,2845,男,20,佐賀県,横浜市栄区,A
斉藤 美加子,210,女,20,山梨県,荒川区,B
井上 春香,4737,男,30,沖縄県,大田区,B
小泉 陽一,1816,男,20,富山県,夷隅郡御宿町,B
浜田 直子,2096,女,20,秋田県,横浜市西区,C
宮沢 裕美子,3136,男,30,千葉県,いすみ市,S
工藤 直人,1386,男,40,沖縄県,板橋区,B
石田 学,4017,男,20,広島県,白井市,B
田中 淳,4108,男,20,岡山県,東村山市,C
廣川 零,1745,男,20,三重県,あきる野市,C
野村 さゆり,2819,男,40,愛媛県,横浜市保土ケ谷区,C
木村 陽子,2487,男,30,長崎県,南房総市,A
藤本 稔,1799,男,20,三重県,葛飾区,C
大垣 美加子,1389,男,20,群馬県,南房総市,A
杉山 陽子,1527,男,20,高知県,八千代市,C
若松 翼,2672,女,20,青森県,横浜市西区,S
青田 香織,3456,男,40,長野県,横浜市旭区,B
中村 裕美子,1142,女,40,神奈川県,川崎市中原区,B
山岸 知実,2886,女,30,北海道,千代田区,S
大垣 篤司,4522,女,40,京都府,新島村,B
桐山 春香,4593,女,40,青森県,横浜市青葉区,S
坂本 稔,3521,男,40,新潟県,印西市,A
中村 陽子,2079,女,30,東京都,山武市,A
若松 桃子,2012,男,40,鹿児島県,三鷹市,A
大垣 智也,4457,男,30,高知県,千代田区,A
宮沢 春香,3643,男,20,長野県,三宅島三宅村,A
浜田 翼,1311,女,30,北海道,港区,A
桐山 涼平,2728,女,20,愛知県,中野区,B
西之園 稔,1903,女,30,青森県,横浜市都筑区,C
青田 淳,1370,男,30,福井県,多摩市,C
桐山 亮介,2231,女,40,茨城県,羽村市,C
桐山 零,997,男,20,熊本県,国立市,C
喜嶋 花子,3918,男,40,北海道,夷隅郡大多喜町,S
中津川 知実,3928,女,20,栃木県,調布市,S
田中 亮介,2366,男,20,兵庫県,葛飾区,A
若松 英樹,1690,女,20,神奈川県,西東京市,S
山口 美加子,4313,女,30,鳥取県,墨田区,A
